id,display_name,display_name_alternatives,type,season,description
129,筑波嶺,筑波山,歌枕,,
130,鹿島,,歌枕,,
131,難波,なにわ,歌枕,,大阪の難波
132,難波潟,なにわがた,歌枕,,難波の潟
133,難波津,なにわつ,歌枕,,浪速津とも
134,江口,えぐち,歌枕,,大阪市東淀川区
135,住吉,すみよし,歌枕,,大阪の住吉
136,芥川,あくたがわ,歌枕,,大阪府高槻市の川
137,三島江,みしまえ,歌枕,,大阪府島本町
138,待兼山,まちかねやま,歌枕,,大阪府豊中市の山
139,泉川,いづみがわ,歌枕,,木津川のうち恭仁京付近の別名
140,宇治,うじ,歌枕,,京都府宇治市
141,宇治川,うじがわ,歌枕,,京都府。淀川の上流部
142,大井川,"おおいがわ,大堰川",歌枕,,京都府。桂川のうち嵯峨嵐山から松尾にかけての流域。大堰川とも
143,音羽山,おとわやま,歌枕,,滋賀県・京都府の音羽山
144,桂川,かつらがわ,歌枕,,京都府京都市左京区広河原。桂川のうち大堰川より下流、桂流域。京都府京都市左京区広河原と南丹市美山町佐々里の境に位置する佐々里峠に発する。左京区広河原、左京区花脊を南流するが、花脊南部で流れを西へと大きく変える。京都市右京区京北地区を東西に横断し、南丹市日吉町天若の世木ダム、同市日吉町中の日吉ダムを経由、以降は亀岡盆地へと南流する。亀岡市の中央部を縦断し、保津峡を南東に流れ、嵐山で京都盆地に出て南流、伏見区で鴨川を併せ、大阪府との境で木津川、宇治川と合流し淀川となる。
145,鴨川,かもがわ,歌枕,,京都府京都市。京都の鴨川。鴨河原とも
146,暗部山,くらぶやま,歌枕,,所在不明。貴船山説、鞍馬山説あり
147,鞍馬山,くらまやま,歌枕,,京都府。京都の鞍馬山
148,瀬見小川,せみのおがわ,歌枕,,小川の名前
149,淀川,"よどがわ,淀,よど",歌枕,,京都府。宇治川、桂川、木津川の三川合流
150,秋篠,あきしの,歌枕,,奈良の秋篠
151,香具山,"かぐやま,天香久山,あまのかぐやま",歌枕,,奈良県橿原市。
152,飛鳥川,"あすかがわ,明日香川",歌枕,,奈良県。
153,二上山,ふたかみやま,歌枕,,奈良県・大阪府の二上山。あるいは富山県の二上山
154,竜田川,"たつた,竜田,たつたがわ,たつたがは",歌枕,,奈良の竜田。竜田川も
155,初瀬,はつせ,歌枕,,奈良県桜井市初瀬
156,富雄川,とみのおがわ,歌枕,,奈良県の富雄川
157,いかるが,いかるが,歌枕,,奈良県斑鳩
158,佐保川,さほがわ,歌枕,,奈良県の佐保川
159,吉野,よしの,歌枕,,奈良県吉野
160,吉野川,よしのがわ,歌枕,,奈良県の吉野川
161,吉野山,よしのやま,歌枕,,奈良県の吉野山
162,狭山池,,歌枕,,大阪府大阪狭山市。
163,高瀬淀,,歌枕,,
164,吹飯浦,,歌枕,,大阪府泉南郡岬町
165,高師浜,,歌枕,,大阪府高石市。
166,明石,,歌枕,,
167,須磨,,歌枕,,
168,高砂,,歌枕,,
169,生野,"細野峠,生野の道",歌枕,,京都府福知山市。
